time_id,date,datum,Year,town,wheat,wheat.flour,boer.meal,mealies,mealie.meal,barley,oats,oathay,lucerne.hay,potatoes,tobacco,beef,mutton,butter,eggs,cattle,sheep,pigs,bread,oranges,s.horses,tr.oxen,mi.cows,wo.sheep
1,1989/09/30,September,1889,Aliwal North,,,,,,,,,,,,,,,,,,,,,,,,
1,1989/09/30,September,1889,Beaufort West,,,,,,,,,,,,,,,,,,,,,,,,
1,1989/09/30,September,1889,Bloemfontein,,,,,,,,,,,,,,,,,,,,,,,,
1,1989/09/30,September,1889,Bulawayo,,,,,,,,,,,,,,,,,,,,,,,,
1,1989/09/30,September,1889,Burghersdorp,132,,156,90,,108,,192,,102,,4,4,30,8,,,,3,,3600,1560,1560,144
1,1989/09/30,September,1889,Cape Town,126,,192,204,,60,,,,204,,5.5,5.5,21,9.75,,,,,,,,,
1,1989/09/30,September,1889,Clanwilliam,102,,120,81,,48,,,,228,,4,4,12,4,,,,2,42,3840,1200,780,108
1,1989/09/30,September,1889,Colesberg,114,,222,132,,,,162,,180,,3.5,3.5,24,9,,,,4,,,1080,1200,84
1,1989/09/30,September,1889,Cradock,150,,192,180,,120,,126,,240,,3,3,36,12,,,,3,96,1080,1260,1200,144
1,1989/09/30,September,1889,Dordrecht,180,,180,90,,48,,150,,180,,4,4,30,6,,,,6,96,2400,1200,1200,120
1,1989/09/30,September,1889,"Durban, Natal",,,,,,,,,,,,,,,,,,,,,,,,
1,1989/09/30,September,1889,East London,138,,180,99,,87,,90,,198,,5,5,54,9,,,,,114,1800,,,
1,1989/09/30,September,1889,Graaff-Reinet,180,,201,141,,102,,84,,216,,2.75,2.75,27,14,,,,3,,1800,960,864,150
1,1989/09/30,September,1889,Graham's Town,144,,180,100,,72,,60,,276,,4,5,24,9,,,,,60,2640,1560,2040,162
1,1989/09/30,September,1889,Johannesburg,214,,169,192,,200,,390,,330,,,,36,32,,,,,168,,2400,4200,
1,1989/09/30,September,1889,Kimberley,168,,180,150,,132,,144,,288,,3.5,4,30,12,,,,,72,3600,3600,1200,150
1,1989/09/30,September,1889,King William's Town,,,204,90,,,,120,,120,,4,4,48,10,,,,,96,1680,1500,1560,216
1,1989/09/30,September,1889,Malmesbury,132,,144,,,,,,,,,4,4,12,8,,,,1.5,,4800,1200,2160,
1,1989/09/30,September,1889,Mossel Bay,156,,180,156,,96,,144,,192,,4.5,4.5,24,8,,,,2,48,2400,960,960,108
1,1989/09/30,September,1889,"Pietermaritzburg, Natal",,,,,,,,,,,,,,,,,,,,,,,,
1,1989/09/30,September,1889,Port Alfred,120,,204,93,,,,60,,166,,,,39,12,,,,,,,,,
1,1989/09/30,September,1889,Port Elizabeth,144,,168,126,,84,,72,,234,,4,5,45,12,,,,,60,4800,1920,4800,192
1,1989/09/30,September,1889,Pretoria,,,,,,,,,,,,,,,,,,,,,,,,
1,1989/09/30,September,1889,Queen's Town,144,,180,120,,72,,165,,216,,5,5,48,10,,,,,144,1800,2400,960,102
1,1989/09/30,September,1889,Salisbury,,,,,,,,,,,,,,,,,,,,,,,,
1,1989/09/30,September,1889,Tarkastad,,,,,,,,,,,,,,,,,,,,,,,,
1,1989/09/30,September,1889,Vryburg,,,,,,,,,,,,,,,,,,,,,,,,
1,1989/09/30,September,1889,Worcester,108,,150,90,,120,,75,,228,,4,4,16,5,,,,2,72,,,,
2,1989/10/31,October,1889,Aliwal North,144,,180,96,,114,,75,,180,,4,4,30,12,,,,,,2160,1560,1320,180
2,1989/10/31,October,1889,Beaufort West,,,,165,,,,108,,,,4,4,30,,,,,,,,,,
2,1989/10/31,October,1889,Bloemfontein,,,,,,,,,,,,,,,,,,,,,,,,
2,1989/10/31,October,1889,Bulawayo,,,,,,,,,,,,,,,,,,,,,,,,
2,1989/10/31,October,1889,Burghersdorp,138,,168,108,,144,,174,,132,,5,5,48,7,,,,4,,2880,1560,1560,144
2,1989/10/31,October,1889,Cape Town,132,,216,228,,63,,,,204,,8,5.25,18,12,,,,,,,,,
2,1989/10/31,October,1889,Clanwilliam,,,,,,,,,,,,,,,,,,,,,,,,
2,1989/10/31,October,1889,Colesberg,,,222,138,,,,162,,150,,4,4,30,9,,,,6,78,,,960,144
2,1989/10/31,October,1889,Cradock,216,,240,144,,156,,126,,240,,3,3,42,18,,,,3,72,1080,1320,1200,144
2,1989/10/31,October,1889,Dordrecht,180,,210,150,,77,,225,,144,,6,6,27,6,,,,4,,3600,1560,1800,300
2,1989/10/31,October,1889,"Durban, Natal",,,135,124,,,,144,,360,,8,8,42,17,,,,,96,3780,2160,1800,
2,1989/10/31,October,1889,East London,132,,216,100,,81,,102,,198,,6,6,51,13,,,,,114,,,,
2,1989/10/31,October,1889,Graaff-Reinet,210,,216,180,,84,,84,,324,,4,4,30,12,,,,3.5,,1800,1560,1920,150
2,1989/10/31,October,1889,Graham's Town,,,204,114,,72,,36,,223,,4,5,36,19,,,,,72,2400,1440,1920,162
2,1989/10/31,October,1889,Johannesburg,234,,133,230,,260,,270,,540,,,,51,26,,,,,123,4200,1620,,
2,1989/10/31,October,1889,Kimberley,170,,240,180,,114,,180,,210,,3.5,6,30,18,,,,,144,3600,2160,3600,168
2,1989/10/31,October,1889,King William's Town,,,216,96,,96,,87,,120,,5.5,5.5,48,8,,,,,72,3000,1800,2400,240
2,1989/10/31,October,1889,Malmesbury,138,,156,,,68,,60,,216,,4,4,12,6,,,,1.75,,6000,1560,,162
2,1989/10/31,October,1889,Mossel Bay,180,,204,120,,96,,140,,216,,6,6,24,12,,,,2,54,2400,1200,960,132
2,1989/10/31,October,1889,"Pietermaritzburg, Natal",,,,,,,,,,,,,,,,,,,,,,,,
2,1989/10/31,October,1889,Port Alfred,,,192,108,,,,90,,210,,,,24,18,,,,,,,,,
2,1989/10/31,October,1889,Port Elizabeth,180,,192,144,,84,,72,,276,,5,6,36,18,,,,,,4800,1920,4800,180
2,1989/10/31,October,1889,Pretoria,,,,,,,,,,,,,,,,,,,,,,,,
2,1989/10/31,October,1889,Queen's Town,,,,,,,,,,,,,,,,,,,,,,,,
2,1989/10/31,October,1889,Salisbury,,,,,,,,,,,,,,,,,,,,,,,,
2,1989/10/31,October,1889,Tarkastad,,,,,,,,,,,,,,,,,,,,,,,,
2,1989/10/31,October,1889,Vryburg,,,,,,,,,,,,,,,,,,,,,,,,
2,1989/10/31,October,1889,Worcester,144,,162,102,,150,,75,,288,,4,4,18,9,,,,3,60,,,,
3,1989/11/30,November,1889,Aliwal North,156,,180,96,,114,,78,,204,,5,5,15,12,,,,,,2400,1680,1440,180
3,1989/11/30,November,1889,Beaufort West,,,,,,,,,,,,,,,,,,,,,,,,
3,1989/11/30,November,1889,Bloemfontein,,,,,,,,,,,,,,,,,,,,,,,,
3,1989/11/30,November,1889,Bulawayo,,,,,,,,,,,,,,,,,,,,,,,,
3,1989/11/30,November,1889,Burghersdorp,150,,174,108,,144,,150,,108,,4,4,21,9,,,,4,,3600,1560,1560,144
3,1989/11/30,November,1889,Cape Town,150,,180,252,,69,,,,186,,7.5,6,18,12,,,,,,,,,
3,1989/11/30,November,1889,Clanwilliam,,,,,,,,,,,,,,,,,,,,,,,,
3,1989/11/30,November,1889,Colesberg,201,,240,138,,144,,102,,,,4,4,18,13,,,,5.5,,,1200,,120
3,1989/11/30,November,1889,Cradock,228,,240,162,,120,,114,,240,,5,5,18,18,,,,4,,1200,1380,1440,144
3,1989/11/30,November,1889,Dordrecht,102,,210,120,,54,,125,,120,,4.5,4.5,12,4.5,,,,6,,3360,1800,1920,240
3,1989/11/30,November,1889,"Durban, Natal",,,,,,,,,,,,,,,,,,,,,,,,
3,1989/11/30,November,1889,East London,114,,210,90,,75,,66,,180,,6.5,6.5,21,10,,,,,150,840,1740,1200,
3,1989/11/30,November,1889,Graaff-Reinet,180,,216,162,,96,,72,,192,,4,4,10.5,12,,,,3.5,,1800,1560,960,150
3,1989/11/30,November,1889,Graham's Town,,,,,,,,,,,,,,,,,,,,,,,,
3,1989/11/30,November,1889,Johannesburg,443,,413,332,,260,,300,,,,,,63,45,,,,,198,3600,2640,,195
3,1989/11/30,November,1889,Kimberley,168,,168,108,,120,,120,,240,,3.5,4,21,15,,,,,,3600,1920,3600,168
3,1989/11/30,November,1889,King William's Town,,,216,87,,,,90,,180,,3.5,3.5,15,6,,,,,66,2400,1440,1920,168
3,1989/11/30,November,1889,Malmesbury,120,,156,,,76,,60,,216,,4,4,15,9,,,,3.5,,6000,1560,2400,168
3,1989/11/30,November,1889,Mossel Bay,168,,192,90,,108,,96,,96,,6,6,30,12,,,,2,48,2400,1200,960,168
3,1989/11/30,November,1889,"Pietermaritzburg, Natal",,,,,,,,,,,,,,,,,,,,,,,,
3,1989/11/30,November,1889,Port Alfred,156,,228,90,,102,,60,,204,,6.5,6.5,9,10,,,,,51,,,,
3,1989/11/30,November,1889,Port Elizabeth,144,,180,120,,84,,78,,312,,5,6,18,18,,,,,,6000,1920,4800,240
3,1989/11/30,November,1889,Pretoria,,,,,,,,,,,,,,,,,,,,,,,,
3,1989/11/30,November,1889,Queen's Town,150,,192,84,,96,,108,,228,,4,4,18,12,,,,,,1200,1920,1260,162
3,1989/11/30,November,1889,Salisbury,,,,,,,,,,,,,,,,,,,,,,,,
3,1989/11/30,November,1889,Tarkastad,,,,,,,,,,,,,,,,,,,,,,,,
3,1989/11/30,November,1889,Vryburg,,,,,,,,,,,,,,,,,,,,,,,,
3,1989/11/30,November,1889,Worcester,138,,192,108,,150,,75,,150,,4,4,20,12,,,,4,,,,,
4,1989/12/31,December,1889,Aliwal North,,,,,,,,,,,,,,,,,,,,,,,,
4,1989/12/31,December,1889,Beaufort West,,,,,,,,,,,,,,,,,,,,,,,,
4,1989/12/31,December,1889,Bloemfontein,,,,,,,,,,,,,,,,,,,,,,,,
