Date,GDP,TBalance,Animal_stock,UK_i,inflation,CPI,lnGDP,dlnGDP,RGDP,lnRGDP,dlnRGDP,Savings,Currency,J_lnRGDP,Total_Savings,Money_Supply,Government_Expenditure
1856/12/31,1560098,-261218,8620750,5.9,-5.37,94.63,14.2602592,,1560098,14.2602592,,15 211,265850,15.86279675,,265850,333151
1857/12/31,2282675,-648786,9790370,7.3,13.69,107.584847,14.64085856,0.380599361,2007806.315,14.5125533,0.252294101,30 849,424943,15.90327279,,424943,460676
1858/12/31,2146506,-697162,10805230,4,5.2,113.179259,14.57935196,-0.061506597,1794709.247,14.40035359,-0.112199711,-65 058,385821,15.71892986,,385821,505783
1859/12/31,2523258,-557988,13161580,3.4,5.45,119.3475287,14.74106148,0.16170952,2000677.41,14.50899639,0.108642799,-157 716,346698,15.69748107,,346698,664645
1860/12/31,2641870,-585504,13500140,4.7,3.8,123.8827348,14.78699756,0.045936076,2018038.741,14.51763668,0.008640291,-204 319,353467,15.69554089,,353467,729690
1861/12/31,2687933,-632605,13608860,5.4,-3.26,119.8441576,14.80428305,0.017285497,2122415.518,14.56806539,0.050428716,-169 671,376760,15.66836303,,376760,763237
1862/12/31,2354317,-828167,14228120,2.6,3.56,124.1106096,14.67176122,-0.132521833,1795084.388,14.40056259,-0.167502801,-151 510,357955,15.32755674,,357955,683792
1863/12/31,2656684,-51387,12080030,5,21.96,151.3652995,14.79258929,0.120828064,1660895.911,14.32286772,-0.077694872,-191 614,289713,15.19521824,,289713,682866
1864/12/31,3106743,123255,11427820,7.4,-13.05,131.6121279,14.94908547,0.156496182,2233768.991,14.61920085,0.296333127,-96 224,312529,15.66842516,,312529,633937
1865/12/31,3054451,111663,15778260,4.8,-32.38,88.99612088,14.93211043,-0.016975039,3247812.323,14.9934922,0.374291349,2 045 326,304511,15.75384856,993032,1297543,870089
1866/12/31,3214671,650067,15962400,6.6,16.39,103.5825851,14.98323558,0.051125149,2936828.777,14.89284091,-0.100651286,2 084 010,273544,15.640724,889527,1163071,691733
1867/12/31,3243540,109476,13981400,2.5,-1.81,101.7077403,14.99217588,0.008940306,3017825.283,14.92004703,0.027206115,1 931 670,257954,15.82840956,830771,1088725,885197
1868/12/31,2902220,350544,13304730,2.8,-24.57,76.71814851,14.88098652,-0.111189365,3579818.908,15.09082277,0.170775748,1 925 453,222349,16.12103778,865338,1087687,668086
1869/12/31,2835055,272688,11103170,3.5,-19.6,61.6813914,14.8575719,-0.023414624,4349468.268,15.28556416,0.194741386,1 790 522,223521,16.32735793,756100,979621,648732
1870/12/31,3250658,217456,11414540,4.2,-5.88,58.05452559,14.994368,0.1367961,5298635.436,15.48295988,0.197395722,1 771 512,298889,16.44782748,742169,1041058,795695
1871/12/31,4256099,946311,14994610,3.2,3.41,60.03418491,15.26386357,0.269495576,6708755.169,15.71892397,0.235964092,2 477 819,958763,16.41685379,1059355,2018118,764915
1872/12/31,6813895,1680801,18401870,4.6,18.91,71.38664928,15.73447447,0.470610897,9032485.631,16.01633815,0.297414178,3 675 089,1080072,16.63147702,1511339,2591411,922568
1873/12/31,7398916,401012,22213790,5.3,3.57,73.93515266,15.81684406,0.082369593,9469912.429,16.06363022,0.047292067,3 679 024,1034089,16.44749062,1487134,2521223,2159658
1874/12/31,6762260,-19468,25137350,3.8,16.35,86.02355012,15.72686771,-0.089976349,7438807.895,15.82222116,-0.241409053,4 697 398,886697,16.24788686,2499847,3386544,1357455
1875/12/31,8003416,23859,31791130,3.3,0.83,86.73754558,15.89537901,0.168511297,8731665.751,15.98246672,0.160245552,4 895 572,695105,16.348294,2935966,3631071,2272275
1876/12/31,8614759,-543774,25969310,3.5,2.04,88.50699151,15.96898745,0.073608445,9210737.256,16.03588045,0.053413737,4 133 575,480106,16.4397697,2318732,2798838,3640532
1877/12/31,8894406,198540,24499040,3.4,-16.21,74.16000819,16.0009331,0.031945645,11349481.48,16.24468262,0.208802162,4 519 650,518918,16.55763943,2707013,3225931,3667725
1878/12/31,8969954,-535967,25929000,3.7,7.87,79.99640083,16.00939111,0.008458008,10610811.71,16.17738401,-0.067298604,5 802 172,685206,16.45758466,3361330,4046536,3841595
1879/12/31,9702185,-698314,26456380,2.9,3.12,82.49228854,16.08786168,0.07847057,11129740.52,16.22513141,0.047747397,6 420 297,721469,16.52979099,3972070,4693539,3794430
1880/12/31,12728236,47333,27875180,2.8,-10.6,73.74810596,16.35933339,0.271471715,16332256.36,16.60865263,0.383521219,7 582 081,848501,16.78647634,4690632,5539133,5530688
