"","date","Wheat per 100lbs (Agri Journals)","Wheat per bushel (Blue Books)","Blue_int","Blue_int2"
"1",1889-10-01,126,NA,72,71.9999999999999
"2",1889-11-01,132,NA,72,71.9999999999999
"3",1889-12-01,150,72,72,71.9999999999999
"4",1890-01-01,NA,NA,73.6666666666667,73.6666666666665
"5",1890-02-01,NA,NA,75.3333333333333,75.3333333333332
"6",1890-03-01,135,NA,77,76.9999999999999
"7",1890-04-01,135,NA,78.6666666666667,78.6666666666665
"8",1890-05-01,132,NA,80.3333333333333,80.3333333333332
"9",1890-06-01,129,NA,82,81.9999999999998
"10",1890-07-01,138,NA,83.6666666666667,83.6666666666665
"11",1890-08-01,135,NA,85.3333333333333,85.3333333333332
"12",1890-09-01,135,NA,87,86.9999999999998
"13",1890-10-01,138,NA,88.6666666666667,88.6666666666665
"14",1890-11-01,162,NA,90.3333333333333,90.3333333333331
"15",1890-12-01,NA,92,92,91.9999999999998
"16",1891-01-01,NA,NA,92.6666666666667,92.6666666666665
"17",1891-02-01,NA,NA,93.3333333333333,93.3333333333331
"18",1891-03-01,NA,NA,94,93.9999999999998
"19",1891-04-01,NA,NA,94.6666666666667,94.6666666666665
"20",1891-05-01,NA,NA,95.3333333333333,95.3333333333331
"21",1891-06-01,NA,NA,96,95.9999999999998
"22",1891-07-01,138,NA,96.6666666666667,96.6666666666665
"23",1891-08-01,150,NA,97.3333333333333,97.3333333333332
"24",1891-09-01,NA,NA,98,97.9999999999998
"25",1891-10-01,144,NA,98.6666666666667,98.6666666666665
"26",1891-11-01,144,NA,99.3333333333333,99.3333333333331
"27",1891-12-01,144,100,100,99.9999999999998
"28",1892-01-01,NA,NA,98.6666666666667,98.6666666666665
"29",1892-02-01,126,NA,97.3333333333333,97.3333333333332
"30",1892-03-01,126,NA,96,95.9999999999998
"31",1892-04-01,132,NA,94.6666666666667,94.6666666666665
"32",1892-05-01,NA,NA,93.3333333333333,93.3333333333332
"33",1892-06-01,NA,NA,92,91.9999999999998
"34",1892-07-01,NA,NA,90.6666666666667,90.6666666666665
"35",1892-08-01,NA,NA,89.3333333333333,89.3333333333332
"36",1892-09-01,NA,NA,88,87.9999999999999
"37",1892-10-01,NA,NA,86.6666666666667,86.6666666666665
"38",1892-11-01,NA,NA,85.3333333333333,85.3333333333332
"39",1892-12-01,NA,84,84,83.9999999999999
"40",1893-01-01,NA,NA,83,82.9999999999998
"41",1893-02-01,NA,NA,82,81.9999999999999
"42",1893-03-01,NA,NA,81,80.9999999999999
"43",1893-04-01,NA,NA,80,79.9999999999999
"44",1893-05-01,NA,NA,79,78.9999999999999
"45",1893-06-01,NA,NA,78,77.9999999999999
"46",1893-07-01,NA,NA,77,76.9999999999999
"47",1893-08-01,NA,NA,76,75.9999999999999
"48",1893-09-01,NA,NA,75,74.9999999999998
"49",1893-10-01,NA,NA,74,73.9999999999998
"50",1893-11-01,NA,NA,73,72.9999999999999
"51",1893-12-01,NA,72,72,71.9999999999999
"52",1894-01-01,NA,NA,70.5,70.4999999999999
"53",1894-02-01,93,NA,69,68.9999999999999
"54",1894-03-01,93,NA,67.5,67.4999999999999
"55",1894-04-01,90,NA,66,65.9999999999999
"56",1894-05-01,90,NA,64.5,64.4999999999999
"57",1894-06-01,NA,NA,63,62.9999999999999
"58",1894-07-01,99,NA,61.5,61.4999999999999
"59",1894-08-01,99,NA,60,59.9999999999999
"60",1894-09-01,102,NA,58.5,58.4999999999999
"61",1894-10-01,90,NA,57,56.9999999999999
"62",1894-11-01,81,NA,55.5,55.4999999999999
"63",1894-12-01,81,54,54,53.9999999999999
"64",1895-01-01,NA,NA,54.5,54.4999999999999
"65",1895-02-01,NA,NA,55,54.9999999999998
"66",1895-03-01,NA,NA,55.5,55.4999999999998
"67",1895-04-01,NA,NA,56,55.9999999999998
"68",1895-05-01,NA,NA,56.5,56.4999999999999
